,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timeStamp
0,1,Bitcoin,BTC,bitcoin,11023,2010-07-13T00:00:00.000Z,['mineable',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1027,Ethereum,ETH,ethereum,8895,2015-08-07T00:00:00.000Z,['pos',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,825,Tether USDt,USDT,tether,84636,2015-02-25T00:00:00.000Z,['stablecoin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,['marketplace',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5426,Solana,SOL,solana,656,2020-04-10T00:00:00.000Z,['pos',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3408,USDC,USDC,usd-coin,18867,2018-10-08T00:00:00.000Z,['medium-of-exchange',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,52,XRP,XRP,xrp,1312,2013-08-04T00:00:00.000Z,['medium-of-exchange',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,74,Dogecoin,DOGE,dogecoin,961,2013-12-15T00:00:00.000Z,['mineable',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,['pos',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,Cardano,ADA,cardano,1159,2017-10-01T00:00:00.000Z,['dpos',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5994,Shiba Inu,SHIB,shiba-inu,803,2020-08-01T00:00:00.000Z,['memes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,['defi',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,['media',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6636,Polkadot,DOT,polkadot-new,754,2020-08-19T00:00:00.000Z,['substrate',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,['mineable',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1975,Chainlink,LINK,chainlink,1741,2017-09-20T00:00:00.000Z,['platform',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6535,NEAR Protocol,NEAR,near-protocol,399,2020-08-11T00:00:00.000Z,['platform',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
